Listening to port 4567
Connected!!!
UKF: initializing...
Radar NIS value=1.77134
Lidar NIS value=1.03126
Radar NIS value=2.02467
Lidar NIS value=2.2444
Radar NIS value=2.39468
Lidar NIS value=1.4301
Radar NIS value=3.63021
Lidar NIS value=1.22935
Radar NIS value=2.91338
Lidar NIS value=2.99357
Radar NIS value=1.06962
Lidar NIS value=0.898543
Radar NIS value=7.49599
Lidar NIS value=1.51042
Radar NIS value=4.07683
Lidar NIS value=1.95703
Radar NIS value=0.718418
Lidar NIS value=5.44723
Radar NIS value=0.603993
Lidar NIS value=0.238671
Radar NIS value=2.00491
Lidar NIS value=0.707307
Radar NIS value=1.48161
Lidar NIS value=0.38664
Radar NIS value=4.37755
Lidar NIS value=0.835315
Radar NIS value=2.96623
Lidar NIS value=0.072319
Radar NIS value=2.14397
Lidar NIS value=1.19592
Radar NIS value=3.29346
Lidar NIS value=0.157419
Radar NIS value=2.50756
Lidar NIS value=0.184395
Radar NIS value=3.78883
Lidar NIS value=0.363059
Radar NIS value=6.74404
Lidar NIS value=3.93055
Radar NIS value=5.83391
Lidar NIS value=0.113641
Radar NIS value=3.74295
Lidar NIS value=1.64513
Radar NIS value=1.26777
Lidar NIS value=0.512997
Radar NIS value=0.868635
Lidar NIS value=3.62385
Radar NIS value=1.72725
Lidar NIS value=0.102102
Radar NIS value=0.452529
Lidar NIS value=1.62468
Radar NIS value=0.433768
Lidar NIS value=1.15414
Radar NIS value=0.453171
Lidar NIS value=1.2678
Radar NIS value=6.57853
Lidar NIS value=2.24632
Radar NIS value=2.70869
Lidar NIS value=0.683939
Radar NIS value=0.369525
Lidar NIS value=0.942471
Radar NIS value=0.146732
Lidar NIS value=0.16097
Radar NIS value=2.29077
Lidar NIS value=1.06762
Radar NIS value=0.817496
Lidar NIS value=0.591465
Radar NIS value=1.90812
Lidar NIS value=3.1385
Radar NIS value=0.114931
Lidar NIS value=2.38597
Radar NIS value=1.02475
Lidar NIS value=2.26623
Radar NIS value=1.27084
Lidar NIS value=0.225566
Radar NIS value=1.899
Lidar NIS value=0.0520557
Radar NIS value=0.155578
Lidar NIS value=2.61409
Radar NIS value=0.190235
Lidar NIS value=0.808249
Radar NIS value=3.76999
Lidar NIS value=1.15233
Radar NIS value=3.18898
Lidar NIS value=1.81844
Radar NIS value=1.39086
Lidar NIS value=1.21674
Radar NIS value=0.742064
Lidar NIS value=2.93188
Radar NIS value=5.47159
Lidar NIS value=2.1315
Radar NIS value=5.62365
Lidar NIS value=1.09376
Radar NIS value=3.02918
Lidar NIS value=2.61026
Radar NIS value=7.66673
Lidar NIS value=2.22336
Radar NIS value=3.83456
Lidar NIS value=11.0654
Radar NIS value=2.28784
Lidar NIS value=3.77277
Radar NIS value=4.18703
Lidar NIS value=2.88007
Radar NIS value=1.29208
Lidar NIS value=0.834913
Radar NIS value=6.58319
Lidar NIS value=1.03684
Radar NIS value=0.955131
Lidar NIS value=3.51756
Radar NIS value=1.35706
Lidar NIS value=0.22036
Radar NIS value=2.28738
Lidar NIS value=0.741262
Radar NIS value=0.597323
Lidar NIS value=0.774413
Radar NIS value=2.76121
Lidar NIS value=2.52227
Radar NIS value=0.238444
Lidar NIS value=0.956199
Radar NIS value=0.603693
Lidar NIS value=1.16169
Radar NIS value=4.12876
Lidar NIS value=0.921684
Radar NIS value=9.7358
Lidar NIS value=1.4424
Radar NIS value=0.155246
Lidar NIS value=0.722264
Radar NIS value=2.38823
Lidar NIS value=0.699929
Radar NIS value=0.0778107
Lidar NIS value=4.33223
Radar NIS value=3.38961
Lidar NIS value=3.57579
Radar NIS value=4.68175
Lidar NIS value=0.289909
Radar NIS value=1.58516
Lidar NIS value=1.83365
Radar NIS value=1.00322
Lidar NIS value=3.6483
Radar NIS value=1.95097
Lidar NIS value=0.00170924
Radar NIS value=1.53572
Lidar NIS value=1.4864
Radar NIS value=3.356
Lidar NIS value=2.0124
Radar NIS value=4.33672
Lidar NIS value=7.01028
Radar NIS value=1.42689
Lidar NIS value=0.430837
Radar NIS value=0.828238
Lidar NIS value=0.801263
Radar NIS value=2.19597
Lidar NIS value=2.20409
Radar NIS value=3.46001
Lidar NIS value=2.68292
Radar NIS value=0.617179
Lidar NIS value=0.136337
Radar NIS value=0.696924
Lidar NIS value=0.302746
Radar NIS value=2.85694
Lidar NIS value=0.895029
Radar NIS value=10.3857
Lidar NIS value=3.49996
Radar NIS value=2.59112
Lidar NIS value=1.29472
Radar NIS value=2.96103
Lidar NIS value=1.50776
Radar NIS value=2.05071
Lidar NIS value=0.437719
Radar NIS value=1.28412
Lidar NIS value=2.63762
Radar NIS value=2.64434
Lidar NIS value=0.322405
Radar NIS value=3.1406
Lidar NIS value=1.24348
Radar NIS value=4.65231
Lidar NIS value=0.138395
Radar NIS value=1.49746
Lidar NIS value=0.262835
Radar NIS value=0.226299
Lidar NIS value=0.452089
Radar NIS value=4.63611
Lidar NIS value=5.25119
Radar NIS value=2.01186
Lidar NIS value=1.58758
Radar NIS value=1.195
Lidar NIS value=3.74296
Radar NIS value=0.575348
Lidar NIS value=5.53173
Radar NIS value=4.90648
Lidar NIS value=0.0198714
Radar NIS value=4.25427
Lidar NIS value=0.230777
Radar NIS value=4.26756
Lidar NIS value=0.642171
Radar NIS value=2.18481
Lidar NIS value=6.64461
Radar NIS value=2.91852
Lidar NIS value=3.66296
Radar NIS value=0.646972
Lidar NIS value=0.922836
Radar NIS value=4.21594
Lidar NIS value=1.58859
Radar NIS value=6.09108
Lidar NIS value=1.41753
Radar NIS value=6.19919
Lidar NIS value=0.107295
Radar NIS value=1.83032
Lidar NIS value=6.49302
Radar NIS value=3.27836
Lidar NIS value=0.937504
Radar NIS value=3.98641
Lidar NIS value=3.08432
Radar NIS value=2.00555
Lidar NIS value=0.284781
Radar NIS value=6.66181
Lidar NIS value=1.61157
Radar NIS value=1.01692
Lidar NIS value=1.3653
Radar NIS value=5.24904
Lidar NIS value=0.0204819
Radar NIS value=1.50615
Lidar NIS value=0.738145
Radar NIS value=0.606705
Lidar NIS value=0.109397
Radar NIS value=1.8345
Lidar NIS value=0.436476
Radar NIS value=2.05063
Lidar NIS value=1.49512
Radar NIS value=0.809623
Lidar NIS value=0.221009
Radar NIS value=4.87353
Lidar NIS value=1.50691
Radar NIS value=6.07129
Lidar NIS value=1.41186
